TABREF JENIS_KURSUS_ID,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
ID,NAMA,,META DATA,,,,
8B91B70E3BE512E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMBINA MUTU HASIL KELAUTAN DAN PERIKANAN,,,,,,
8B91B70E3C0812E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMERIKSA,,,,,,
8B91B70E3B7612E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMERIKSA BEA DAN CUKAI,,,,,,
8B91B70E3B7112E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMERIKSA DESAIN INDUSTRI,,,,,,
8B91B70E3B9412E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMERIKSA KARANTINA TUMBUHAN,,,,,,
8B91B70E3B6D12E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMERIKSA KEIMIGRASIAN,,,,,,
8B91B70E3B6E12E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMERIKSA MEREK,,,,,,
8B91B70E3B7712E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMERIKSA PAJAK,,,,,,
8B91B70E3B6F12E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMERIKSA PATEN,,,,,,
8B91B70E3B9112E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMERIKSA PVT,,,,,,
8B91B70E3BC912E5E050640A29034DA5,DIKLAT FUNGSIONAL PENATA ANESTESI,,,,,,
8B91B70E3B6512E5E050640A29034DA5,DIKLAT FUNGSIONAL PENATA KONSELERAI,,,,,,
8B91B70E3B7C12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENATA LAKSANA BARANG,,,,,,
8B91B70E3B9C12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENATA RUANG,,,,,,
8B91B70E3BFF12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENELITI,,,,,,
8B91B70E3B8112E5E050640A29034DA5,DIKLAT FUNGSIONAL PENERA,,,,,,
8B91B70E3BD412E5E050640A29034DA5,DIKLAT FUNGSIONAL PENERJEMAH,,,,,,
8B91B70E3B9A12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAMAT GUNUNG API,,,,,,
8B91B70E3C0212E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAMAT METEREOLOGI DAN GEOFISIKA,,,,,,
8B91B70E3B8312E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAMAT TERA,,,,,,
8B91B70E3BCD12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGANTAR KERJA,,,,,,
8B91B70E3B8B12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS BENIH TANAMAN,,,,,,
8B91B70E3B8C12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS BIBIT TERNAK,,,,,,
8B91B70E3C0312E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS FARMASI DAN MAKANAN,,,,,,
8B91B70E3B8412E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS KEMETROLOGIAN,,,,,,
8B91B70E3B6712E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS KESELAMATAN PELAYARAN,,,,,,
8B91B70E3BCE12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS KETENAGAKERJAAN,,,,,,
8B91B70E3BD912E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS LINGKUNGAN HIDUP,,,,,,
8B91B70E3B8D12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS MUTU HASIL PANGAN,,,,,,
8B91B70E3B8E12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS MUTU PAKAN,,,,,,
8B91B70E3B7D12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS PENYELENGGARAAN URUSAN PEMERINTAHAN DI DAERAH (PENGAWAS PEMERINTAHAN),,,,,,
8B91B70E3BDA12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS PERIKANAN,,,,,,
8B91B70E3BF912E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS RADIASI,,,,,,
8B91B70E3BA712E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGAWAS SEKOLAH,,,,,,
8B91B70E3BDE12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGELOLA EKOSISTEM LAUT DAN PESISIR,,,,,,
8B91B70E3BE112E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGELOLA KESEHATAN IKAN,,,,,,
8B91B70E3C0912E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGELOLA PENGADAAN BARANG/JASA,,,,,,
8B91B70E3BE012E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGELOLA PRODUKSI PERIKANAN TANGKAP,,,,,,
8B91B70E3BA912E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGEMBANG TEKNOLOGI PEMBELAJARAN,,,,,,
8B91B70E3BD812E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGENDALI DAMPAK LINGKUNGAN,,,,,,
8B91B70E3BD512E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGENDALI EKOSISTEM HUKUM,,,,,,
