TABREF KURSUS,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
JENIS_KURSUS_ID,CEPAT_KODE,NAMA,,META DATA,,,,
8B91B70E3BF712E5E050640A29034DA5,3027,DIKLAT FUNGSIONAL AUDITOR,,,,,,
8B91B70E3BFC12E5E050640A29034DA5,3032,DIKLAT FUNGSIONAL AUDITOR KEPEGAWAIAN,,,,,,
8B91B70E3BAF12E5E050640A29034DA5,2955,DIKLAT FUNGSIONAL BIDAN,,,,,,
8B8231F908BC414AE050640A2903466B,2880,DIKLAT FUNGSIONAL DIPLOMAT,,,,,,
8B91B70E3BB012E5E050640A29034DA5,2956,DIKLAT FUNGSIONAL DOKTER,,,,,,
8B91B70E3BB112E5E050640A29034DA5,2957,DIKLAT FUNGSIONAL DOKTER GIGI,,,,,,
8B91B70E3B9512E5E050640A29034DA5,2929,DIKLAT FUNGSIONAL DOKTER HEWAN KARANTINA,,,,,,
8B91B70E3BB212E5E050640A29034DA5,2958,DIKLAT FUNGSIONAL DOKTER PENDIDIK KLINIS,,,,,,
8B91B70E3BAB12E5E050640A29034DA5,2951,DIKLAT FUNGSIONAL DOSEN,,,,,,
8B91B70E3BB412E5E050640A29034DA5,2960,DIKLAT FUNGSIONAL ENTOMOLOG KESEHATAN,,,,,,
8B91B70E3BB312E5E050640A29034DA5,2959,DIKLAT FUNGSIONAL EPIDEMIOLOG KESEHATAN,,,,,,
8B91B70E3BB612E5E050640A29034DA5,2962,DIKLAT FUNGSIONAL FISIKAWAN MEDIS,,,,,,
8B91B70E3BB512E5E050640A29034DA5,2961,DIKLAT FUNGSIONAL FISIOTERAPIS,,,,,,
8B91B70E3BA412E5E050640A29034DA5,2944,DIKLAT FUNGSIONAL GURU,,,,,,
8B91B70E3B9712E5E050640A29034DA5,2931,DIKLAT FUNGSIONAL INSPEKTUR KETENAGALISTRIKAN,,,,,,
8B91B70E3B9812E5E050640A29034DA5,2932,DIKLAT FUNGSIONAL INSPEKTUR MINYAK DAN GAS BUMI,,,,,,
8B91B70E3BE412E5E050640A29034DA5,3008,DIKLAT FUNGSIONAL INSPEKTUR MUTU HASIL PERIKANAN,,,,,,
8B91B70E3B9912E5E050640A29034DA5,2933,DIKLAT FUNGSIONAL INSPEKTUR TAMBANG,,,,,,
8B91B70E3BCC12E5E050640A29034DA5,2984,DIKLAT FUNGSIONAL INSTRUKTUR,,,,,,
8B91B70E3BF012E5E050640A29034DA5,3020,DIKLAT FUNGSIONAL JAKSA,,,,,,
8B91B70E3BA212E5E050640A29034DA5,2942,DIKLAT FUNGSIONAL KATALOGER,,,,,,
8B91B70E3BCF12E5E050640A29034DA5,2987,DIKLAT FUNGSIONAL MEDIATOR HUBUNGAN INDUSTRIAL,,,,,,
8B91B70E3B8912E5E050640A29034DA5,2917,DIKLAT FUNGSIONAL MEDIK VETERINER,,,,,,
8B91B70E3BB712E5E050640A29034DA5,2963,DIKLAT FUNGSIONAL NUTRISIONIS,,,,,,
8B91B70E3BB812E5E050640A29034DA5,2964,DIKLAT FUNGSIONAL OKUPASI TERAPIS,,,,,,
8B91B70E3B8012E5E050640A29034DA5,2908,DIKLAT FUNGSIONAL OPERATOR SIAK,,,,,,
8B91B70E3BF112E5E050640A29034DA5,3021,DIKLAT FUNGSIONAL OPERATOR TRANSMISI SANDI,,,,,,
8B91B70E3BB912E5E050640A29034DA5,2965,DIKLAT FUNGSIONAL ORTHOTIS PROSTETIS,,,,,,
8B91B70E3BA512E5E050640A29034DA5,2945,DIKLAT FUNGSIONAL PAMONG BELAJAR,,,,,,
8B91B70E3BA612E5E050640A29034DA5,2946,DIKLAT FUNGSIONAL PAMONG BUDAYA,,,,,,
8B91B70E3B9612E5E050640A29034DA5,2930,DIKLAT FUNGSIONAL PARAMEDIK KARANTINA HEWAN,,,,,,
8B91B70E3B8A12E5E050640A29034DA5,2918,DIKLAT FUNGSIONAL PARAMEDIK VETERINER,,,,,,
8B91B70E3BD212E5E050640A29034DA5,2990,DIKLAT FUNGSIONAL PEKERJA SOSIAL,,,,,,
8B91B70E3BEE12E5E050640A29034DA5,3018,DIKLAT FUNGSIONAL PELATIH OLAHRAGA,,,,,,
8B91B70E3B7512E5E050640A29034DA5,2897,DIKLAT FUNGSIONAL PELELANG,,,,,,
