TABREF PROFESI,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
ID,NAMA,,META DATA,,,,
A5EB03E20710F6A0E040640A040252AD,A-I SENI RUPA,,,,,,
A5EB03E20711F6A0E040640A040252AD,A-I SENI TARI,,,,,,
A5EB03E207D9F6A0E040640A040252AD,A-I TEK.ELEKTRO KOMUNIKASI,,,,,,
A5EB03E20747F6A0E040640A040252AD,A-I TEKNIK,,,,,,
A5EB03E207E7F6A0E040640A040252AD,A-I TEKNIK &MANAJ. INDUS.,,,,,,
A5EB03E207DFF6A0E040640A040252AD,A-I TEKNIK ALIRAN SUNGAI,,,,,,
A5EB03E207D5F6A0E040640A040252AD,A-I TEKNIK ARSITEKTUR,,,,,,
A5EB03E207DDF6A0E040640A040252AD,A-I TEKNIK BANGUNAN,,,,,,
A5EB03E207D7F6A0E040640A040252AD,A-I TEKNIK ELEKTRO,,,,,,
A5EB03E207D8F6A0E040640A040252AD,A-I TEKNIK ELEKTRO KOMP.,,,,,,
A5EB03E207DAF6A0E040640A040252AD,A-I TEKNIK ELEKTRONIKA,,,,,,
A5EB03E207DCF6A0E040640A040252AD,A-I TEKNIK GEDUNG,,,,,,
A5EB03E207E8F6A0E040640A040252AD,A-I TEKNIK INDUSTRI,,,,,,
A5EB03E207E1F6A0E040640A040252AD,A-I TEKNIK KIMIA,,,,,,
A5EB03E207DBF6A0E040640A040252AD,A-I TEKNIK KOMPUTER,,,,,,
A5EB03E207E3F6A0E040640A040252AD,A-I TEKNIK LISTRIK,,,,,,
A5EB03E207E5F6A0E040640A040252AD,A-I TEKNIK MESIN,,,,,,
A5EB03E207E6F6A0E040640A040252AD,A-I TEKNIK OTOMOTIF,,,,,,
A5EB03E207DEF6A0E040640A040252AD,A-I TEKNIK SIPIL,,,,,,
A5EB03E207E9F6A0E040640A040252AD,A-II,,,,,,
A5EB03E20561F6A0E040640A040252AD,A-II ADM. KETERAMPILAN,,,,,,
A5EB03E20562F6A0E040640A040252AD,A-II ADM. KEU.,,,,,,
A5EB03E20563F6A0E040640A040252AD,A-II ADM. PENDIDIKAN,,,,,,
A5EB03E20565F6A0E040640A040252AD,A-II ADM. PERKANTORAN,,,,,,
A5EB03E20567F6A0E040640A040252AD,A-II ADM. PERUSAHAAN,,,,,,
A5EB03E20564F6A0E040640A040252AD,A-II ADM. SUPERVISI PEND.,,,,,,
A5EB03E20566F6A0E040640A040252AD,A-II ADM. TATA PERKANTORAN,,,,,,
A5EB03E2056AF6A0E040640A040252AD,A-II ADM.ILMU ADM. NEGARA,,,,,,
A5EB03E20890F6A0E040640A040252AD,A-II ADMINISTRASI,,,,,,
A5EB03E20560F6A0E040640A040252AD,A-II ADMINISTRASI EKONOMI,,,,,,
A5EB03E20568F6A0E040640A040252AD,A-II ADMINISTRASI SEKOLAH,,,,,,
A5EB03E20569F6A0E040640A040252AD,A-II ADMINISTRASI SOSIAL,,,,,,
A5EB03E20595F6A0E040640A040252AD,A-II ARSITEKTUR,,,,,,
A5EB03E2086DF6A0E040640A040252AD,A-II BAHASA,,,,,,
A5EB03E20875F6A0E040640A040252AD,A-II BAHASA DAERAH,,,,,,
